newage,total_w,mat
1,397.39569270868276,1
1,520.1943284242055,1
1,552.3992305943368,1
1,450.2853626468133,1
1,278.4703731289008,0
1,357.0485434095154,0
1,235.11207973173182,0
1,482.7385862030493,0
1,382.5587954339279,0
1,528.1258997958979,1
1,193.18310537871673,0
1,677.2081573559162,1
1,437.25845388596156,0
1,409.14150715189857,0
1,324.18961188261613,0
1,309.3559228551822,0
1,329.23883069539073,1
1,453.6215567888868,0
1,399.2990214034981,0
1,407.09529317014074,0
1,469.8598955859348,0
1,306.3379393013085,0
1,334.0700163766336,0
1,375.37936396673877,0
1,425.01458292056554,1
1,439.30316685472354,0
1,252.47655265014026,0
1,467.1452581458998,1
1,465.88837100811196,1
1,257.05847763436526,0
1,463.56239481877304,0
1,327.06252855863556,0
1,245.78007352937973,0
1,543.194701768551,0
1,597.7634743309799,1
1,484.02043296000977,1
1,377.0274569964033,0
1,199.05605969034232,0
1,540.9393411455371,1
1,427.6832469295126,0
1,305.51486891136636,0
1,472.44646773622026,1
1,345.3097046134553,1
1,618.9806439784803,1
1,248.52928199342364,0
1,417.90395118710865,1
1,327.85794774650986,0
1,433.32835992277546,1
1,467.231548793604,0
1,278.41186877626114,0
1,598.6929579414494,1
1,483.52734155872395,0
1,548.2487393978688,1
1,492.85651780726596,1
1,413.10333027833457,0
1,505.0717519772743,0
1,232.17871306930516,0
1,371.2760916770928,0
1,218.35960667709116,0
1,495.48471900901205,1
1,410.7029464353632,0
1,354.2139673056073,1
1,497.14023919411454,1
1,409.8791583132058,0
1,319.5451870786946,1
1,446.04411983765505,1
1,427.3277056546067,0
1,525.9659482776814,1
1,333.5563916022036,0
1,560.2516065538867,1
1,518.536244728982,0
1,408.09052031873586,0
1,220.58438810387247,0
1,626.0339278590384,1
1,532.7876671194398,1
1,477.02917001963215,1
1,551.565008292857,1
1,324.54335058826814,1
1,406.5535031013552,0
1,212.0429348392726,0
1,515.7293402652143,1
1,455.77841261207,0
1,362.0926372434249,1
1,303.27902747764216,0
1,367.72886264714447,0
1,297.0469447738564,0
1,524.3720549686207,1
1,503.67440223851577,1
1,588.5139822982662,1
1,469.3142600844134,1
1,333.5540938058508,0
1,522.5946794894701,1
1,512.7664814429818,1
1,363.39897247352417,0
1,541.3194239407256,1
1,433.2128430856923,0
1,446.5354321434666,1
1,335.8019276344769,0
1,204.8438673400202,0
1,340.4196421143017,0
1,259.0224572975242,0
1,506.8186788109544,1
1,361.4405121832373,0
1,429.4875488824331,0
1,614.5624561729325,1
1,311.45004379123753,0
1,398.4400619095196,0
1,491.32913405481486,0
1,308.3545465504521,0
1,261.4843622666456,0
1,362.51969710150445,0
1,282.4900194557277,0
1,638.1819845985766,1
1,488.11176773657076,1
1,462.34773257058026,1
1,533.0246536519925,1
1,603.6341211323767,1
1,325.12725943569126,0
1,613.9878764449239,1
1,364.49176601862916,0
1,545.9565676008848,1
1,608.1134947543944,1
1,365.4154157039236,0
1,341.7921923379544,0
1,303.91288438466097,0
1,469.9550980284687,1
1,651.2500742538351,1
1,533.1137761177373,0
1,230.15811961587815,0
1,501.43077975803305,1
1,475.07245838860825,0
1,301.59473230709216,0
1,270.9435377119961,0
1,354.0760795482444,1
1,512.7958708176678,1
1,317.1884288830544,0
1,381.3696792725748,0
1,457.6667573581058,1
1,375.5361164634138,0
1,601.8344655791623,1
1,664.3815778704427,1
1,288.2061015019379,0
1,473.2530969861641,0
1,344.60796622459395,0
1,347.220987549492,0
1,296.6514061824167,0
1,407.2114158148489,1
1,445.05814543930404,0
1,276.34017334814905,0
1,372.14882568322145,1
1,582.3514922837196,1
1,456.611668728985,0
1,268.8262060193623,0
1,394.7586183470562,1
1,563.820632617472,1
1,306.9454890710124,1
1,453.3780852267316,0
1,576.0176919204288,1
1,404.19835279683264,1
1,476.338407326677,1
1,337.10631779652715,1
1,494.87781852707303,1
1,444.1242465522646,0
1,469.16773031394104,1
1,291.7475705616079,0
1,466.56866770637174,1
1,439.6482828066106,1
1,405.0753622947251,0
1,233.6318650199481,0
1,437.4274521190854,0
1,501.4407961810441,1
1,272.5285796241009,0
1,462.1597840383899,0
1,429.7837482575958,1
1,466.96311526860495,0
1,271.1133879248243,0
1,422.86224693513674,1
1,348.81086920809213,0
1,576.1991474141672,1
1,387.860223626987,0
1,343.4926579157819,0
1,300.90513001615113,0
1,572.8216215938594,1
1,616.4884373557476,1
1,466.6261909939856,1
1,454.4509774659466,0
1,511.5557979445144,0
1,496.5283279132654,1
1,469.47227690591785,1
1,426.9836681019598,0
1,311.7823779983629,0
1,546.0609107443114,1
1,594.679061541781,1
1,527.0206890747892,0
1,409.6845359269135,1
1,397.5870526697962,1
1,557.4182220840415,1
1,622.4533705056856,1
1,629.5881980446674,1
1,555.3919354296505,1
1,466.35517213815797,1
1,286.7846720699332,0
1,366.89549825853265,1
1,523.647182435116,1
1,480.68383632450156,0
1,233.55202744945234,0
1,286.95228114985207,0
1,546.1482123181845,1
1,261.3265077471717,0
1,308.604645403932,0
1,374.0640192293092,0
1,529.4759974938037,1
1,510.460649882964,1
1,436.656994476469,1
1,483.87381572398755,1
1,343.994697007077,0
1,376.35907854128146,1
1,590.1446557794822,1
1,472.6067380471775,0
1,561.1792699614792,1
1,510.55933779094715,1
1,458.23846732523293,1
1,260.46448801230594,0
1,388.4050307157171,0
1,396.50241618159254,0
1,284.07061021212627,0
1,597.2021778706998,1
1,352.5781628864075,0
1,621.9686257582317,1
1,394.7391738598533,0
1,500.2378638759975,1
1,444.7835763400433,1
1,530.1925610809427,1
1,419.09367978295296,0
1,290.57506939465566,0
1,596.9160938135564,1
1,275.86963183348735,0
1,148.57029042000477,0
1,497.91602607017535,1
1,286.8860265748366,0
1,528.0988636669844,1
1,619.2928243158733,1
1,582.3925722657169,1
1,351.3516135525691,0
1,191.3945958515589,0
1,618.5343633197111,1
1,432.3745108089931,0
1,583.3703934763153,1
1,679.5988417836218,1
1,495.0490710972684,1
1,276.78085367811804,0
1,350.1888015166116,0
1,545.618534213125,1
1,373.0896742708318,1
1,297.26065844731585,0
1,462.4832116861374,0
1,515.0771997467511,0
1,565.7986590399036,1
1,445.4138506116493,1
1,339.8765643991754,0
1,482.3887966635946,1
1,619.3565084941813,1
1,327.5177693443936,1
1,453.80080632817356,0
1,589.2167131681616,1
1,575.7266427205931,1
1,503.78156783341734,1
1,531.3196172749139,0
1,371.33511821255297,1
1,424.76300626504633,0
1,499.45678931451624,1
1,623.586709783254,1
1,551.4674139708192,1
1,498.0954382888625,1
1,435.37506034686766,0
1,391.4781202667758,1
1,571.4354900878075,1
1,444.8561768070983,1
1,473.3792353794572,1
1,434.0503977553588,1
1,538.8865536736944,1
1,247.10433856658972,0
1,302.2588922496942,0
1,320.914411751519,0
1,491.68805728120253,1
1,283.852673918108,0
